chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL1079589,1,1,1.0,1,0
CHEMBL1079590,1,1,1.0,1,0
CHEMBL1079593,5,5,1.0,3,0
CHEMBL1079594,2,2,1.0,2,0
CHEMBL1079600,1,1,1.0,1,0
CHEMBL1079601,1,1,1.0,1,0
CHEMBL1079602,1,1,1.0,1,0
CHEMBL1079603,1,1,1.0,1,0
CHEMBL1079611,2,2,1.0,2,0
CHEMBL1079612,1,2,0.5,2,1
CHEMBL1079625,2,2,1.0,2,0
CHEMBL1079626,1,1,1.0,1,0
CHEMBL1079627,0,2,0.0,2,2
CHEMBL1079689,1,1,1.0,1,0
CHEMBL1079690,1,1,1.0,1,0
CHEMBL1079713,2,2,1.0,2,0
CHEMBL1079735,1,1,1.0,1,0
CHEMBL1079742,0,2,0.0,1,2
CHEMBL1079745,1,2,0.5,2,1
CHEMBL1079758,0,1,0.0,1,1
CHEMBL1079759,1,1,1.0,1,0
CHEMBL1079760,1,1,1.0,1,0
CHEMBL1079768,1,1,1.0,1,0
CHEMBL1079769,1,1,1.0,1,0
CHEMBL1079770,1,1,1.0,1,0
CHEMBL1079771,1,1,1.0,1,0
CHEMBL1079772,1,1,1.0,1,0
CHEMBL1079773,1,1,1.0,1,0
CHEMBL1079782,1,2,0.5,1,1
CHEMBL1079783,1,1,1.0,1,0
CHEMBL1079784,1,1,1.0,1,0
CHEMBL1079785,1,1,1.0,1,0
CHEMBL1079846,2,2,1.0,1,0
CHEMBL1079850,2,2,1.0,1,0
CHEMBL1079903,1,2,0.5,2,1
CHEMBL1079904,1,2,0.5,2,1
CHEMBL1079906,1,1,1.0,1,0
CHEMBL1079907,1,1,1.0,1,0
CHEMBL1079919,1,2,0.5,1,1
CHEMBL1079920,2,2,1.0,1,0
CHEMBL1079921,3,5,0.6,4,2
CHEMBL1079945,6,6,1.0,4,0
CHEMBL1079946,3,6,0.5,4,3
CHEMBL1079966,1,1,1.0,1,0
